"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Betanucleorhabdovirus",0,170,0,1877,1,1
"Betanudivirus",0,170,0,1877,1,1
"Betapapillomavirus",0,170,0,1877,1,1
"Betapartitivirus",9,161,64,1813,0.195500318096004,1
"Betapolyomavirus",0,170,1,1876,1,1
"Betaretrovirus",0,170,0,1877,1,1
"Betasatellite",0,170,0,1877,1,1
"Betatorquevirus",0,170,0,1877,1,1
"Betayadokarivirus",0,170,0,1877,1,1
"Bhargavaea",0,170,0,1877,1,1
"Bibersteinia",1,169,0,1877,0.0830483634587201,0.732660266430438
"Bicaudavirus",0,170,0,1877,1,1
"Bifidobacterium",57,113,142,1735,1.02127771838183e-19,2.65657782617953e-17
"Bignuzlikevirus",0,170,0,1877,1,1
"Bignuzvirus",0,170,0,1877,1,1
"Bilophila",0,170,0,1877,1,1
"Bingvirus",0,170,0,1877,1,1
"Birpovirus",0,170,0,1877,1,1
"Bisgaardia",0,170,0,1877,1,1
"Bixzunavirus",0,170,0,1877,1,1
"Bizionia",0,170,0,1877,1,1
"Blastochloris",5,165,15,1862,0.0206656124213983,0.326057440426507
"Blastococcus",0,170,6,1871,1,1
"Blastomonas",5,165,15,1862,0.0206656124213983,0.326057440426507
"Blastopirellula",0,170,0,1877,1,1
"Blattabacterium",35,135,145,1732,5.43162176234508e-07,3.17590119515942e-05
"Blautia",20,150,145,1732,0.0759802971872331,0.732660266430438
"Blohavirus",0,170,0,1877,1,1
"Blunervirus",0,170,0,1877,1,1
"Bocaparvovirus",0,170,0,1877,1,1
"Bohxovirus",0,170,0,1877,1,1
"Bombilactobacillus",2,168,1,1876,0.0194523444131702,0.316977546667068
"Bongovirus",0,170,0,1877,1,1
"Bonnellvirus",0,170,0,1877,1,1
"Bordetella",7,163,134,1743,0.155401264724088,1
"Bornavirus",0,170,0,1877,1,1
"Borrelia",1,169,0,1877,0.0830483634587201,0.732660266430438
"Borreliella",1,169,1,1876,0.159236915859511,1
"Bosavirus",0,170,0,1877,1,1
"Bossavirus",0,170,0,1877,1,1
"Botrexvirus",0,170,0,1877,1,1
"Botrytimonavirus",0,170,0,1877,1,1
"Bottigliavirus",0,170,0,1877,1,1
"Boudabousia",0,170,0,1877,1,1
"Bowservirus",0,170,0,1877,1,1
"Bppunalikevirus",0,170,0,1877,1,1
"Brachybacterium",4,166,16,1861,0.0778561243145299,0.732660266430438
"Brachymonas",0,170,0,1877,1,1
"Brachyspira",5,165,5,1872,0.000666127959685266,0.0183925331090876
"Brackiella",0,170,0,1877,1,1
