"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Caloramator",0,64,5,1978,1,1
"Caloranaerobacter",0,64,2,1981,1,1
"Calothrix",0,64,4,1979,1,1
"Caminibacter",0,64,0,1983,1,1
"Caminicella",0,64,3,1980,1,1
"Campanilevirus",0,64,0,1983,1,1
"Campylobacter",34,30,1035,948,0.899593451025016,1
"Camvirus",0,64,0,1983,1,1
"Candidatus_Accumulibacter",0,64,0,1983,1,1
"Candidatus_Amoebophilus",0,64,0,1983,1,1
"Candidatus_Aquiluna",0,64,0,1983,1,1
"Candidatus_Arthromitus",0,64,0,1983,1,1
"Candidatus_Atelocyanobacterium",0,64,0,1983,1,1
"Candidatus_Azobacteroides",0,64,0,1983,1,1
"Candidatus_Babela",0,64,0,1983,1,1
"Candidatus_Blochmannia",0,64,0,1983,1,1
"Candidatus_Brocadia",0,64,0,1983,1,1
"Candidatus_Cardinium",0,64,0,1983,1,1
"Candidatus_Cloacimonas",0,64,0,1983,1,1
"Candidatus_Competibacter",0,64,0,1983,1,1
"Candidatus_Contendobacter",0,64,0,1983,1,1
"Candidatus_Desulforudis",0,64,0,1983,1,1
"Candidatus_Endolissoclinum",0,64,0,1983,1,1
"Candidatus_Evansia",0,64,0,1983,1,1
"Candidatus_Glomeribacter",0,64,0,1983,1,1
"Candidatus_Halobonum",0,64,0,1983,1,1
"Candidatus_Hamiltonella",0,64,0,1983,1,1
"Candidatus_Hepatobacter",0,64,0,1983,1,1
"Candidatus_Ishikawaella",0,64,0,1983,1,1
"Candidatus_Jettenia",0,64,0,1983,1,1
"Candidatus_Korarchaeum",0,64,0,1983,1,1
"Candidatus_Koribacter",0,64,0,1983,1,1
"Candidatus_Liberibacter",0,64,0,1983,1,1
"Candidatus_Magnetobacterium",0,64,0,1983,1,1
"Candidatus_Methanomethylophilus",0,64,0,1983,1,1
"Candidatus_Methanoperedens",0,64,0,1983,1,1
"Candidatus_Methanoplasma",0,64,0,1983,1,1
"Candidatus_Methylopumilus",0,64,0,1983,1,1
"Candidatus_Microthrix",0,64,0,1983,1,1
"Candidatus_Midichloria",0,64,0,1983,1,1
"Candidatus_Moranella",0,64,0,1983,1,1
"Candidatus_Nasuia",0,64,0,1983,1,1
"Candidatus_Neoehrlichia",0,64,0,1983,1,1
"Candidatus_Nitrosoarchaeum",0,64,0,1983,1,1
"Candidatus_Nitrosocosmicus",0,64,0,1983,1,1
"Candidatus_Nitrosopelagicus",0,64,0,1983,1,1
"Candidatus_Nitrosotenuis",0,64,0,1983,1,1
"Candidatus_Odyssella",0,64,0,1983,1,1
"Candidatus_Paracaedibacter",0,64,0,1983,1,1
"Candidatus_Pelagibacter",0,64,0,1983,1,1
"Candidatus_Phaeomarinobacter",0,64,0,1983,1,1
"Candidatus_Photodesmus",0,64,0,1983,1,1
"Candidatus_Phytoplasma",0,64,0,1983,1,1
"Candidatus_Portiera",0,64,0,1983,1,1
"Candidatus_Profftella",0,64,0,1983,1,1
"Candidatus_Protochlamydia",0,64,0,1983,1,1
"Candidatus_Puniceispirillum",0,64,0,1983,1,1
"Candidatus_Regiella",0,64,0,1983,1,1
"Candidatus_Riesia",0,64,0,1983,1,1
"Candidatus_Ruthia",0,64,0,1983,1,1
"Candidatus_Schmidhempelia",0,64,0,1983,1,1
"Candidatus_Soleaferrea",0,64,0,1983,1,1
"Candidatus_Solibacter",0,64,0,1983,1,1
"Candidatus_Stoquefichus",0,64,0,1983,1,1
"Candidatus_Sulcia",0,64,0,1983,1,1
"Candidatus_Symbiobacter",0,64,0,1983,1,1
"Candidatus_Tachikawaea",0,64,0,1983,1,1
"Candidatus_Xiphinematobacter",0,64,0,1983,1,1
"Candidatus.Absconditicoccus",0,64,1,1982,1,1
"Candidatus.Amoebophilus",0,64,0,1983,1,1
"Candidatus.Annandia",0,64,69,1914,0.274306329346869,1
"Candidatus.Arcticimaribacter",0,64,1,1982,1,1
"Candidatus.Arthromitus",0,64,1,1982,1,1
"Candidatus.Atelocyanobacterium",0,64,2,1981,1,1
"Candidatus.Azoamicus",0,64,0,1983,1,1
"Candidatus.Azobacteroides",0,64,0,1983,1,1
