"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Betapapillomavirus",0,136,0,1911,1,1
"Betapartitivirus",4,132,69,1842,1,1
"Betapolyomavirus",0,136,1,1910,1,1
"Betaretrovirus",0,136,0,1911,1,1
"Betasatellite",0,136,0,1911,1,1
"Betatorquevirus",0,136,0,1911,1,1
"Betayadokarivirus",0,136,0,1911,1,1
"Bhargavaea",0,136,0,1911,1,1
"Bibersteinia",0,136,1,1910,1,1
"Bicaudavirus",0,136,0,1911,1,1
"Bifidobacterium",1,135,198,1713,1.60328831425924e-05,0.00132805715364474
"Bignuzlikevirus",0,136,0,1911,1,1
"Bignuzvirus",0,136,0,1911,1,1
"Bilophila",0,136,0,1911,1,1
"Bingvirus",0,136,0,1911,1,1
"Birpovirus",0,136,0,1911,1,1
"Bisgaardia",0,136,0,1911,1,1
"Bixzunavirus",0,136,0,1911,1,1
"Bizionia",0,136,0,1911,1,1
"Blastochloris",0,136,20,1891,0.638908832905036,1
"Blastococcus",0,136,6,1905,1,1
"Blastomonas",0,136,20,1891,0.638908832905036,1
"Blastopirellula",0,136,0,1911,1,1
"Blattabacterium",12,124,168,1743,1,1
"Blautia",0,136,165,1746,1.15880697512442e-05,0.00119518890952854
"Blohavirus",0,136,0,1911,1,1
"Blunervirus",0,136,0,1911,1,1
"Bocaparvovirus",0,136,0,1911,1,1
"Bohxovirus",0,136,0,1911,1,1
"Bombilactobacillus",0,136,3,1908,1,1
"Bongovirus",0,136,0,1911,1,1
"Bonnellvirus",0,136,0,1911,1,1
"Bordetella",0,136,141,1770,6.98895799794706e-05,0.00496216017854241
"Bornavirus",0,136,0,1911,1,1
"Borrelia",0,136,1,1910,1,1
"Borreliella",0,136,2,1909,1,1
"Bosavirus",0,136,0,1911,1,1
"Bossavirus",0,136,0,1911,1,1
"Botrexvirus",0,136,0,1911,1,1
"Botrytimonavirus",0,136,0,1911,1,1
"Bottigliavirus",0,136,0,1911,1,1
"Boudabousia",0,136,0,1911,1,1
"Bowservirus",0,136,0,1911,1,1
"Bppunalikevirus",0,136,0,1911,1,1
"Brachybacterium",0,136,20,1891,0.638908832905036,1
"Brachymonas",0,136,0,1911,1,1
"Brachyspira",0,136,10,1901,1,1
"Brackiella",0,136,0,1911,1,1
"Bracoviriform",0,136,0,1911,1,1
"Bracovirus",0,136,0,1911,1,1
"Bradymonas",0,136,0,1911,1,1
"Bremerella",0,136,0,1911,1,1
"Brenneria",0,136,3,1908,1,1
"Breoghania",0,136,4,1907,1,1
"Brevefilum",0,136,0,1911,1,1
"Brevidensovirus",0,136,0,1911,1,1
"Breznakiella",0,136,5,1906,1,1
"Brigitvirus",0,136,2,1909,1,1
"Bromovirus",0,136,0,1911,1,1
"Bronlikevirus",0,136,0,1911,1,1
"Brooklawnia",0,136,1,1910,1,1
"Brucella",5,131,310,1601,1.20240332950557e-05,0.00119518890952854
"Brucepastera",0,136,13,1898,1,1
"Brussowvirus",0,136,0,1911,1,1
"Bryobacter",0,136,0,1911,1,1
"Buchavirus",0,136,1,1910,1,1
"Buchnera",101,35,766,1145,6.9209618181824e-15,3.43971802363665e-12
"Buhlduvirus",0,136,0,1911,1,1
"Bulleidia",0,136,40,1871,0.107670580609824,1
"Buorbuivirus",0,136,0,1911,1,1
"Burrovirus",0,136,0,1911,1,1
"Burzaovirus",0,136,1,1910,1,1
"Buttiauxella",0,136,2,1909,1,1
"Butyricicoccus",0,136,0,1911,1,1
"Butyricimonas",0,136,76,1835,0.00838929349471529,0.353930973941097
"Butyrivibrio",0,136,58,1853,0.0300608438476612,0.886106583910953
"Bymovirus",0,136,0,1911,1,1
"C2likevirus",0,136,0,1911,1,1
"C5likevirus",0,136,0,1911,1,1
"Caballeronia",0,136,46,1865,0.0703145264065243,1
"Cacepaovirus",0,136,0,1911,1,1
"Caedibacter",0,136,0,1911,1,1
"Caelumvirus",0,136,0,1911,1,1
"Caenibius",0,136,18,1893,0.627025806544891,1
"Caenimonas",0,136,0,1911,1,1
"Caenispirillum",0,136,0,1911,1,1
"Caeruleovirus",0,136,0,1911,1,1
"Cafeteriavirus",0,136,0,1911,1,1
"Caldalkalibacillus",0,136,0,1911,1,1
"Caldanaerobacter",0,136,0,1911,1,1
"Caldanaerobius",0,136,0,1911,1,1
"Caldibacillus",0,136,1,1910,1,1
"Caldicellulosiruptor",0,136,10,1901,1,1
"Caldichromatium",0,136,2,1909,1,1
"Caldicoprobacter",0,136,0,1911,1,1
"Caldilinea",0,136,0,1911,1,1
"Caldimicrobium",0,136,0,1911,1,1
"Caldimonas",0,136,64,1847,0.0196561184395007,0.630263926737539
"Caldinitratiruptor",0,136,4,1907,1,1
"Caldisericum",0,136,0,1911,1,1
"Caldisphaera",0,136,0,1911,1,1
"Calditerrivibrio",0,136,1,1910,1,1
"Caldithrix",0,136,1,1910,1,1
"Caldivirga",0,136,0,1911,1,1
"Callevirus",0,136,0,1911,1,1
"Caloramator",0,136,5,1906,1,1
"Caloranaerobacter",0,136,2,1909,1,1
"Calothrix",0,136,4,1907,1,1
"Caminibacter",0,136,0,1911,1,1
"Caminicella",0,136,3,1908,1,1
"Campanilevirus",0,136,0,1911,1,1
"Campylobacter",106,30,963,948,2.15878594536429e-10,4.29166645938421e-08
"Camvirus",0,136,0,1911,1,1
"Candidatus_Accumulibacter",0,136,0,1911,1,1
"Candidatus_Amoebophilus",0,136,0,1911,1,1
"Candidatus_Aquiluna",0,136,0,1911,1,1
"Candidatus_Arthromitus",0,136,0,1911,1,1
"Candidatus_Atelocyanobacterium",0,136,0,1911,1,1
"Candidatus_Azobacteroides",0,136,0,1911,1,1
"Candidatus_Babela",0,136,0,1911,1,1
"Candidatus_Blochmannia",0,136,0,1911,1,1
"Candidatus_Brocadia",0,136,0,1911,1,1
"Candidatus_Cardinium",0,136,0,1911,1,1
"Candidatus_Cloacimonas",0,136,0,1911,1,1
"Candidatus_Competibacter",0,136,0,1911,1,1
"Candidatus_Contendobacter",0,136,0,1911,1,1
"Candidatus_Desulforudis",0,136,0,1911,1,1
"Candidatus_Endolissoclinum",0,136,0,1911,1,1
"Candidatus_Evansia",0,136,0,1911,1,1
"Candidatus_Glomeribacter",0,136,0,1911,1,1
"Candidatus_Halobonum",0,136,0,1911,1,1
"Candidatus_Hamiltonella",0,136,0,1911,1,1
"Candidatus_Hepatobacter",0,136,0,1911,1,1
"Candidatus_Ishikawaella",0,136,0,1911,1,1
"Candidatus_Jettenia",0,136,0,1911,1,1
"Candidatus_Korarchaeum",0,136,0,1911,1,1
"Candidatus_Koribacter",0,136,0,1911,1,1
"Candidatus_Liberibacter",0,136,0,1911,1,1
"Candidatus_Magnetobacterium",0,136,0,1911,1,1
"Candidatus_Methanomethylophilus",0,136,0,1911,1,1
"Candidatus_Methanoperedens",0,136,0,1911,1,1
"Candidatus_Methanoplasma",0,136,0,1911,1,1
"Candidatus_Methylopumilus",0,136,0,1911,1,1
"Candidatus_Microthrix",0,136,0,1911,1,1
"Candidatus_Midichloria",0,136,0,1911,1,1
"Candidatus_Moranella",0,136,0,1911,1,1
"Candidatus_Nasuia",0,136,0,1911,1,1
"Candidatus_Neoehrlichia",0,136,0,1911,1,1
"Candidatus_Nitrosoarchaeum",0,136,0,1911,1,1
"Candidatus_Nitrosocosmicus",0,136,0,1911,1,1
"Candidatus_Nitrosopelagicus",0,136,0,1911,1,1
"Candidatus_Nitrosotenuis",0,136,0,1911,1,1
"Candidatus_Odyssella",0,136,0,1911,1,1
"Candidatus_Paracaedibacter",0,136,0,1911,1,1
"Candidatus_Pelagibacter",0,136,0,1911,1,1
"Candidatus_Phaeomarinobacter",0,136,0,1911,1,1
"Candidatus_Photodesmus",0,136,0,1911,1,1
"Candidatus_Phytoplasma",0,136,0,1911,1,1
"Candidatus_Portiera",0,136,0,1911,1,1
"Candidatus_Profftella",0,136,0,1911,1,1
"Candidatus_Protochlamydia",0,136,0,1911,1,1
"Candidatus_Puniceispirillum",0,136,0,1911,1,1
"Candidatus_Regiella",0,136,0,1911,1,1
"Candidatus_Riesia",0,136,0,1911,1,1
"Candidatus_Ruthia",0,136,0,1911,1,1
"Candidatus_Schmidhempelia",0,136,0,1911,1,1
"Candidatus_Soleaferrea",0,136,0,1911,1,1
"Candidatus_Solibacter",0,136,0,1911,1,1
"Candidatus_Stoquefichus",0,136,0,1911,1,1
"Candidatus_Sulcia",0,136,0,1911,1,1
"Candidatus_Symbiobacter",0,136,0,1911,1,1
"Candidatus_Tachikawaea",0,136,0,1911,1,1
"Candidatus_Xiphinematobacter",0,136,0,1911,1,1
"Candidatus.Absconditicoccus",0,136,1,1910,1,1
"Candidatus.Amoebophilus",0,136,0,1911,1,1
"Candidatus.Annandia",1,135,68,1843,0.0847065006085612,1
"Candidatus.Arcticimaribacter",0,136,1,1910,1,1
"Candidatus.Arthromitus",0,136,1,1910,1,1
"Candidatus.Atelocyanobacterium",0,136,2,1909,1,1
"Candidatus.Azoamicus",0,136,0,1911,1,1
