"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Candidatus_Hepatobacter",0,0,0,2047,1,1
"Candidatus_Ishikawaella",0,0,0,2047,1,1
"Candidatus_Jettenia",0,0,0,2047,1,1
"Candidatus_Korarchaeum",0,0,0,2047,1,1
"Candidatus_Koribacter",0,0,0,2047,1,1
"Candidatus_Liberibacter",0,0,0,2047,1,1
"Candidatus_Magnetobacterium",0,0,0,2047,1,1
"Candidatus_Methanomethylophilus",0,0,0,2047,1,1
"Candidatus_Methanoperedens",0,0,0,2047,1,1
"Candidatus_Methanoplasma",0,0,0,2047,1,1
"Candidatus_Methylopumilus",0,0,0,2047,1,1
"Candidatus_Microthrix",0,0,0,2047,1,1
"Candidatus_Midichloria",0,0,0,2047,1,1
"Candidatus_Moranella",0,0,0,2047,1,1
"Candidatus_Nasuia",0,0,0,2047,1,1
"Candidatus_Neoehrlichia",0,0,0,2047,1,1
"Candidatus_Nitrosoarchaeum",0,0,0,2047,1,1
"Candidatus_Nitrosocosmicus",0,0,0,2047,1,1
"Candidatus_Nitrosopelagicus",0,0,0,2047,1,1
"Candidatus_Nitrosotenuis",0,0,0,2047,1,1
"Candidatus_Odyssella",0,0,0,2047,1,1
"Candidatus_Paracaedibacter",0,0,0,2047,1,1
"Candidatus_Pelagibacter",0,0,0,2047,1,1
"Candidatus_Phaeomarinobacter",0,0,0,2047,1,1
"Candidatus_Photodesmus",0,0,0,2047,1,1
"Candidatus_Phytoplasma",0,0,0,2047,1,1
"Candidatus_Portiera",0,0,0,2047,1,1
"Candidatus_Profftella",0,0,0,2047,1,1
"Candidatus_Protochlamydia",0,0,0,2047,1,1
"Candidatus_Puniceispirillum",0,0,0,2047,1,1
"Candidatus_Regiella",0,0,0,2047,1,1
"Candidatus_Riesia",0,0,0,2047,1,1
"Candidatus_Ruthia",0,0,0,2047,1,1
"Candidatus_Schmidhempelia",0,0,0,2047,1,1
"Candidatus_Soleaferrea",0,0,0,2047,1,1
"Candidatus_Solibacter",0,0,0,2047,1,1
"Candidatus_Stoquefichus",0,0,0,2047,1,1
"Candidatus_Sulcia",0,0,0,2047,1,1
"Candidatus_Symbiobacter",0,0,0,2047,1,1
"Candidatus_Tachikawaea",0,0,0,2047,1,1
"Candidatus_Xiphinematobacter",0,0,0,2047,1,1
"Candidatus.Absconditicoccus",0,0,1,2046,1,1
"Candidatus.Amoebophilus",0,0,0,2047,1,1
"Candidatus.Annandia",0,0,69,1978,1,1
"Candidatus.Arcticimaribacter",0,0,1,2046,1,1
"Candidatus.Arthromitus",0,0,1,2046,1,1
"Candidatus.Atelocyanobacterium",0,0,2,2045,1,1
"Candidatus.Azoamicus",0,0,0,2047,1,1
"Candidatus.Azobacteroides",0,0,0,2047,1,1
"Candidatus.Babela",0,0,0,2047,1,1
"Candidatus.Bandiella",0,0,0,2047,1,1
"Candidatus.Baumannia",0,0,0,2047,1,1
"Candidatus.Bipolaricaulis",0,0,0,2047,1,1
"Candidatus.Blochmannia",0,0,3,2044,1,1
"Candidatus.Cardinium",0,0,1,2046,1,1
"Candidatus.Carsonella",0,0,863,1184,1,1
"Candidatus.Chazhemtobacterium",0,0,0,2047,1,1
"Candidatus.Chromulinivorax",0,0,0,2047,1,1
"Candidatus.Cloacimonas",0,0,2,2045,1,1
"Candidatus.Comchoanobacter",0,0,0,2047,1,1
"Candidatus.Contubernalis",0,0,0,2047,1,1
"Candidatus.Cytomitobacter",0,0,0,2047,1,1
"Candidatus.Desulforudis",0,0,2,2045,1,1
"Candidatus.Doolittlea",0,0,0,2047,1,1
"Candidatus.Endolissoclinum",0,0,0,2047,1,1
"Candidatus.Endoriftia",0,0,1,2046,1,1
"Candidatus.Fervidibacter",0,0,1,2046,1,1
"Candidatus.Fokinia",0,0,1,2046,1,1
"Candidatus.Fonsibacter",0,0,0,2047,1,1
