"Genus","crc_pos","crc_neg","other_pos","other_neg","p_value"
"Bronlikevirus",0,189,0,1858,1
"Brooklawnia",0,189,1,1857,1
"Brussowvirus",0,189,0,1858,1
"Bryobacter",0,189,0,1858,1
"Buhlduvirus",0,189,0,1858,1
"Buorbuivirus",0,189,0,1858,1
"Burrovirus",0,189,0,1858,1
"Butyricicoccus",0,189,0,1858,1
"Bymovirus",0,189,0,1858,1
"C2likevirus",0,189,0,1858,1
"C5likevirus",0,189,0,1858,1
"Caballeronia",4,185,42,1816,1
"Cacepaovirus",0,189,0,1858,1
"Caedibacter",0,189,0,1858,1
"Caelumvirus",0,189,0,1858,1
"Caenimonas",0,189,0,1858,1
"Caenispirillum",0,189,0,1858,1
"Caeruleovirus",0,189,0,1858,1
"Cafeteriavirus",0,189,0,1858,1
"Caldalkalibacillus",0,189,0,1858,1
"Caldanaerobacter",0,189,0,1858,1
"Caldanaerobius",0,189,0,1858,1
"Caldibacillus",0,189,1,1857,1
"Caldichromatium",0,189,2,1856,1
"Caldicoprobacter",0,189,0,1858,1
"Caldilinea",0,189,0,1858,1
"Caldimicrobium",0,189,0,1858,1
"Caldimonas",6,183,58,1800,1
"Caldisericum",0,189,0,1858,1
"Caldisphaera",0,189,0,1858,1
"Calditerrivibrio",0,189,1,1857,1
"Caldithrix",0,189,1,1857,1
"Caldivirga",0,189,0,1858,1
"Callevirus",0,189,0,1858,1
"Caloramator",0,189,5,1853,1
"Caloranaerobacter",0,189,2,1856,1
"Caminibacter",0,189,0,1858,1
"Campanilevirus",0,189,0,1858,1
"Camvirus",0,189,0,1858,1
"Candidatus_Accumulibacter",0,189,0,1858,1
"Candidatus_Amoebophilus",0,189,0,1858,1
"Candidatus_Aquiluna",0,189,0,1858,1
"Candidatus_Arthromitus",0,189,0,1858,1
"Candidatus_Atelocyanobacterium",0,189,0,1858,1
"Candidatus_Azobacteroides",0,189,0,1858,1
"Candidatus_Babela",0,189,0,1858,1
"Candidatus_Blochmannia",0,189,0,1858,1
"Candidatus_Brocadia",0,189,0,1858,1
"Candidatus_Cardinium",0,189,0,1858,1
"Candidatus_Cloacimonas",0,189,0,1858,1
"Candidatus_Competibacter",0,189,0,1858,1
"Candidatus_Contendobacter",0,189,0,1858,1
"Candidatus_Desulforudis",0,189,0,1858,1
"Candidatus_Endolissoclinum",0,189,0,1858,1
"Candidatus_Evansia",0,189,0,1858,1
"Candidatus_Glomeribacter",0,189,0,1858,1
"Candidatus_Halobonum",0,189,0,1858,1
"Candidatus_Hamiltonella",0,189,0,1858,1
"Candidatus_Hepatobacter",0,189,0,1858,1
"Candidatus_Ishikawaella",0,189,0,1858,1
"Candidatus_Jettenia",0,189,0,1858,1
"Candidatus_Korarchaeum",0,189,0,1858,1
"Candidatus_Koribacter",0,189,0,1858,1
"Candidatus_Liberibacter",0,189,0,1858,1
"Candidatus_Magnetobacterium",0,189,0,1858,1
"Candidatus_Methanomethylophilus",0,189,0,1858,1
